Minute,Fraction
2089,0.9286549999999999
2099,0.42923599999999995
2100,0.42923599999999995
2108,0.638232
2118,0.44280699999999995
2119,0.44280699999999995
3367,0.6006199999999999
3377,0.575805
3378,0.575805
3387,0.741373
3396,0.541683
3406,0.377666
5548,0.76076
5558,0.674292
5568,0.934083
5577,0.30438200000000004
5578,0.30438200000000004
18384,0.568825
18394,0.703761
18404,0.671966
18405,0.671966
18414,0.564948
19843,0.41644
19853,0.400543
19854,0.400543
19862,0.49360200000000004
19872,0.559131
19873,0.559131
19882,0.47576599999999997
19883,0.47576599999999997
21291,0.7754939999999999
21300,0.46219499999999997
21310,0.507173
21311,0.507173
21320,0.684762
21330,0.453276
21331,0.453276
21339,0.48623500000000003
22217,0.798371
22227,0.48623500000000003
22228,0.48623500000000003
22236,0.683211
22246,0.772392
22256,0.677782
22266,0.672741
32372,0.785188
32382,0.340442
32383,0.340442
32391,0.642885
32401,0.6549050000000001
34355,0.500582
34365,0.683986
34375,0.554866
34376,0.554866
34384,0.787127
34394,0.641722
34567,0.437379
34568,0.437379
34577,0.385808
34587,0.647926
34597,0.5312140000000001
34598,0.5312140000000001
34606,0.851493
34616,0.341993
35703,0.453664
35712,0.393563
35713,0.393563
35722,0.7557189999999999
35732,0.731679
43589,0.53005
43599,0.37185
43600,0.37185
43609,0.490888
43619,0.517642
43965,0.44513400000000003
43966,0.44513400000000003
43975,0.711128
43985,0.39511399999999997
43986,0.39511399999999997
43994,0.523459
54080,0.506786
54081,0.506786
54090,0.42186899999999994
54100,0.576192
54109,0.739822
55685,0.293525
55695,0.394339
55704,0.7188829999999999
55714,0.547887
57443,0.383094
57444,0.383094
57453,0.48197
57463,0.42884799999999995
57464,0.42884799999999995
57472,0.8894920000000001
57482,0.540132
57492,0.584723
57493,0.584723
57609,0.436216
57610,0.436216
57618,0.508337
57628,0.62311
57629,0.62311
62294,0.713067
62314,0.80729
62324,0.47305200000000003
62325,0.47305200000000003
65533,0.666925
65543,0.7677390000000001
65552,0.875533
65562,0.46762299999999996
65563,0.46762299999999996
65572,0.670027
65582,0.7611479999999999
65583,0.7611479999999999
65591,0.438542
65592,0.438542
65939,0.792168
65949,0.618069
65958,0.370299
65959,0.412563
65968,0.45909300000000003
65969,0.45909300000000003
65978,0.627763
65979,0.607212
65988,0.751066
66039,0.395502
66040,0.395502
66049,0.810392
66059,0.47266400000000003
66060,0.47266400000000003
66069,0.369523
66070,0.369523
66078,0.44746
66079,0.44746
66088,0.762311
67417,0.522683
67418,0.522683
67427,0.5013569999999999
67437,0.715781
67447,0.7223729999999999
67523,0.48119399999999996
67524,0.48119399999999996
67533,0.443195
67534,0.443195
67542,0.956572
67552,0.7541680000000001
67562,0.547111
74607,0.609539
74616,0.356727
74617,0.356727
74626,0.503296
74636,0.5060100000000001
76222,0.746801
76232,0.7367199999999999
76242,0.905777
76252,0.7343930000000001
76261,0.43893000000000004
77434,0.382706
77435,0.382706
77444,0.60411
77454,0.589763
77455,0.589763
77463,0.621946
77473,0.489725
78534,0.783249
78544,0.547887
78554,0.589376
78564,0.789841
78573,0.691353
79798,0.678945
79808,0.763862
79817,0.582009
79827,0.495541
79828,0.495541
81685,0.547111
81695,0.476154
81696,0.476154
81705,0.45948
81706,0.45948
81714,0.539744
81789,0.470725
81799,0.752617
81809,0.6006199999999999
81819,0.582784
81829,0.542071
81830,0.542071
84057,0.547499
84058,0.547499
84067,0.514541
84077,0.519193
84078,0.519193
84086,0.555642
84096,0.624273
84106,0.73323
84107,0.73323
97575,0.465684
97576,0.465684
97585,0.662272
97605,0.437767
104278,0.42884799999999995
104288,0.382706
104297,0.7343930000000001
104745,0.571152
104754,0.728577
108434,0.438154
108435,0.438154
108444,0.509112
108445,0.509112
108454,0.608375
108464,0.634354
109149,0.720434
109159,0.449399
109160,0.449399
109169,0.61962
109178,0.336952
109188,0.5095
112287,0.46607200000000004
112288,0.46607200000000004
112297,0.524234
112298,0.524234
112307,0.433889
112317,0.530826
112318,0.530826
112327,0.583172
112336,0.424583
112337,0.424583
119294,0.810779
119304,0.36835999999999997
119305,0.36835999999999997
119314,0.844901
119324,0.417604
119325,0.417604
119334,0.476541
122095,0.849942
122105,0.8894920000000001
122115,0.823575
122124,0.860411
123169,0.370686
123179,0.527724
123189,0.719659
123199,0.52152
123200,0.52152
123485,0.542071
123486,0.542071
123494,0.370686
123504,0.899573
123514,0.465684
123524,0.335789
123525,0.335789
123534,0.40325700000000003
125996,0.42341999999999996
125997,0.42341999999999996
126006,0.702598
126015,0.55758
126025,0.375339
126026,0.375339
130239,0.52152
130240,0.52152
130249,0.484684
130250,0.484684
130259,0.603722
130260,0.603722
130268,0.411012
130269,0.411012
130278,0.594804
130288,0.796045
131758,0.52152
131759,0.52152
131768,0.49980600000000003
131769,0.49980600000000003
131778,0.366809
131787,0.602947
131797,0.576192
131798,0.576192
131807,0.361768
131808,0.361768
131817,0.406359
133282,0.9829389999999999
133291,0.578907
133301,0.7793720000000001
133311,0.372625
133312,0.372625
135760,0.50252
135761,0.50252
135770,0.874758
135779,0.782862
135789,0.523459
137457,0.611865
137467,0.38038
137468,0.38038
137477,0.79682
137487,0.790229
137496,0.48158199999999995
137497,0.48158199999999995
146566,0.570764
146576,0.476541
146577,0.476541
146586,0.7479640000000001
146596,0.45986800000000005
146597,0.45986800000000005
146606,0.52152
150671,0.768515
150681,0.609926
150691,0.5645600000000001
150692,0.5645600000000001
150701,0.723536
150710,0.5529270000000001
150711,0.5529270000000001
152401,0.463358
152410,0.605273
152411,0.605273
152420,0.702598
152430,0.804575
152440,0.48545900000000003
152449,0.6494770000000001
154388,0.5583560000000001
154389,0.5583560000000001
154398,0.432338
154399,0.432338
154407,0.5389689999999999
154417,0.7134550000000001
154427,0.537805
154437,0.425746
168917,0.53005
168918,0.53005
168927,0.790617
168937,0.626599
168946,0.48894899999999997
168947,0.48894899999999997
170424,0.871656
170433,0.613804
170443,0.809616
172474,0.672354
172475,0.672354
172484,0.424195
172494,0.759984
172504,0.639007
172513,0.569213
177619,0.5257850000000001
177620,0.5257850000000001
177628,0.5021329999999999
177629,0.5021329999999999
177638,0.35789099999999996
177639,0.35789099999999996
177648,0.33734000000000003
177649,0.33734000000000003
177658,0.357503
177659,0.357503
179746,0.6184569999999999
179756,0.781698
179766,0.44048100000000007
179775,0.420318
179776,0.420318
179785,0.5525399999999999
179795,0.445909
179796,0.445909
182504,0.468786
182505,0.468786
182513,0.523846
182514,0.523846
182523,0.685537
182533,0.599845
182543,0.567274
182553,0.7343930000000001
182844,0.333075
182845,0.333075
182854,0.607988
182864,0.668864
182874,0.5133770000000001
182883,0.5409069999999999
186862,0.671578
186872,0.687864
186882,0.565723
186892,0.430012
186893,0.430012
193306,0.645987
193316,0.642109
193326,0.51299
193327,0.51299
193336,0.74874
198315,0.5331520000000001
198325,0.51803
198326,0.51803
198335,0.617681
199591,0.682823
199601,0.35285
199602,0.35285
199610,0.44862299999999994
199620,0.709577
199630,0.708802
200011,0.683986
200021,0.443971
200022,0.443971
200031,0.6048859999999999
200040,0.6161300000000001
203689,0.9286549999999999
203699,0.42923599999999995
203700,0.42923599999999995
