Minute,Fraction
622,0.342621
1284,0.432521
2783,0.318894
2788,0.527209
2793,0.079669
2798,0.597301
2803,0.020679
2808,0.217022
3666,0.75185
3979,0.085111
6679,0.8286899999999999
7902,0.46343100000000004
7976,0.414671
7977,0.414671
8413,0.11689200000000001
11304,0.040487999999999996
12428,0.550283
12433,0.566391
14947,0.243796
16764,0.394863
17707,0.410318
17781,0.5037
17855,0.188724
17871,0.421637
18374,0.2266
19661,0.237048
19735,0.598607
21136,0.422508
21182,0.786896
22603,0.636265
22678,0.43818
26464,0.20222
26469,0.566609
26474,0.148672
26479,0.6528079999999999
26484,0.760775
28007,0.841532
30779,0.450588
30823,0.490858
32780,0.7124510000000001
32785,0.44732299999999997
32790,0.32303000000000004
32795,0.164127
33743,0.382238
33744,0.382238
35408,0.28537199999999996
35413,0.336308
36956,0.515237
37082,0.85677
37087,0.086852
37930,0.066609
37993,0.14540699999999998
38130,0.34871599999999997
38135,0.281672
38735,0.65825
38809,0.363735
39403,0.8406620000000001
39477,0.49259899999999995
42216,0.552024
42217,0.552024
42240,0.404658
42694,0.6813229999999999
42768,0.634088
42790,0.53374
42795,0.626252
42800,0.865477
43821,0.697214
43946,0.582717
47175,0.473879
48475,0.201567
48549,0.303004
48550,0.303004
50992,0.5690029999999999
54020,0.538093
55347,0.166957
55824,0.561384
56624,0.604049
56698,0.50936
57134,0.15759700000000001
57208,0.417066
58672,0.661297
58803,0.5004350000000001
58808,0.181541
61033,0.280148
61107,0.463866
61108,0.463866
62385,0.6397470000000001
62386,0.6397470000000001
62460,0.5291680000000001
63809,0.217675
63814,0.236395
63815,0.236395
63819,0.42033100000000007
65341,0.46778400000000003
65346,0.6865479999999999
65351,0.644536
67071,0.336961
67146,0.09817200000000001
67220,0.934262
68571,0.261428
69174,0.681106
69179,0.44732299999999997
69854,0.47714399999999996
69891,0.519373
69892,0.519373
69966,0.152373
70260,0.500218
71825,0.42860299999999996
71899,0.501088
75906,0.085111
75980,0.726165
76055,0.5274270000000001
76129,0.558337
78174,0.44645200000000007
80137,0.149108
80212,0.7117979999999999
80286,0.607096
80360,0.283848
81691,0.171746
81766,0.061602
81840,0.400522
85442,0.422508
85445,0.358511
85446,0.358511
85517,0.363082
85519,0.282107
85615,0.178929
85620,0.43295600000000006
87816,0.614279
89034,0.37266
89333,0.476709
89837,0.239225
89842,0.721158
89911,0.32760100000000003
89916,0.629734
92874,0.245973
94034,0.69852
94109,0.023074
94183,0.06769700000000001
94257,0.182194
99899,0.304745
100638,0.397475
101492,0.112756
101566,0.51872
101984,0.10383099999999999
102975,0.759251
103224,0.061167
103239,0.176099
103298,0.36613
103299,0.36613
104839,0.11471500000000001
107465,0.28885500000000003
107466,0.28885500000000003
107470,0.198302
107475,0.060949
110787,0.270135
110788,0.270135
111402,0.03461
111476,0.11232
111550,0.396169
111551,0.396169
111624,0.707444
112788,0.8929040000000001
113110,0.39573400000000003
113115,0.123422
113120,0.613626
113125,0.19286
114200,0.744885
116194,0.17871099999999998
117660,0.522638
117661,0.522638
