Minute,Fraction
489,0.422513
490,0.422513
494,0.629548
499,0.34170900000000004
942,0.351558
6068,0.06271399999999999
6073,0.125829
6078,0.742111
6083,0.340302
6369,0.069146
6374,0.42753800000000003
6379,0.666734
6905,0.524824
6979,0.193769
7053,0.743518
9378,0.22814099999999998
9453,0.017487
10950,0.627739
11322,0.190352
11396,0.23517600000000002
12174,0.19738699999999998
12813,0.18392
12887,0.065729
13866,0.293869
13867,0.293869
15301,0.199397
15507,0.7485430000000001
15582,0.179899
15656,0.376683
15730,0.41989899999999997
16471,0.572864
16545,0.639397
16984,0.133668
16989,0.334673
18044,0.373266
19242,0.21989899999999998
19801,0.49045200000000005
20748,0.456683
22197,0.269347
22271,0.487638
23289,0.571256
23472,0.329447
23473,0.329447
23546,0.261709
23620,0.515578
24053,0.139497
25018,0.179095
26425,0.085628
32426,0.10773900000000002
33549,0.46191000000000004
33554,0.6452260000000001
33786,0.014271
33842,0.816281
33916,0.99397
34201,0.377286
34206,0.469347
40824,0.43939700000000004
40843,0.279397
40848,0.25648200000000004
40898,0.11738699999999999
40899,0.11738699999999999
40918,0.22914600000000002
40923,0.169045
40992,0.283618
40997,0.22733699999999998
41162,0.20743699999999998
41236,0.45125600000000005
41538,0.319598
44067,0.47196000000000005
47867,0.61005
48163,0.251256
48168,0.701307
50851,0.032161
50960,0.18090499999999998
50965,0.44783900000000004
51203,0.486633
51633,0.545528
51707,0.35598
53005,0.08402000000000001
56110,0.572864
56184,0.026131
56949,0.678794
57367,0.333467
57625,0.77809
57699,0.247437
58283,0.287839
58284,0.287839
59799,0.367035
59819,0.6836180000000001
60979,0.379296
60980,0.379296
61006,0.059095
61053,0.149146
62719,0.078794
62793,0.168241
64369,0.538894
64426,0.031758999999999996
64501,0.078593
68627,0.36944699999999997
69566,0.16301500000000002
69604,0.24522600000000003
69609,0.42090500000000003
69679,0.229548
69684,0.56804
71223,0.11035199999999999
71870,0.402814
75498,0.714774
75503,0.16864300000000002
75508,0.43778900000000004
75513,0.512563
75518,0.17668299999999998
75519,0.17668299999999998
75573,0.593568
75578,0.026935
75583,0.076784
75588,0.481005
75589,0.481005
75592,0.136683
75647,0.19738699999999998
75652,0.479397
75657,0.062513
75660,0.61206
75662,0.642412
75665,0.423317
75667,0.39196
75670,0.215879
78457,0.051658
78531,0.336683
78532,0.336683
79816,0.625528
81480,0.367035
81485,0.545126
82815,0.174673
84778,0.6080399999999999
84852,0.391156
85496,0.691658
85515,0.15397
85589,0.028141000000000003
85663,0.350754
86840,0.46351800000000004
86841,0.46351800000000004
87572,0.142111
87577,0.615477
87582,0.61005
87583,0.61005
87586,0.7224119999999999
87591,0.46191000000000004
87646,0.367437
87651,0.43035200000000007
87656,0.6512560000000001
87661,0.471558
87666,0.179899
87694,0.10392
87838,0.433568
87912,0.023316999999999997
87936,0.345528
87937,0.345528
87941,0.070754
87987,0.666131
88061,0.710754
88764,0.769447
88768,0.050854
88838,0.630955
88843,0.390955
88844,0.390955
89019,0.049849
90123,0.44803999999999994
90197,0.147337
94223,0.022312000000000002
94228,0.168442
94233,0.13386900000000002
94522,0.287839
94800,0.36201
95612,0.297487
95613,0.297487
97372,0.8104520000000001
98428,0.43055299999999996
98503,0.46512600000000004
98577,0.163216
